INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(920, 11, 348510, 4392);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(1359, 8, 219821, 9004);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(8931, 20, 754588, 2362);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(8902, 17, 505969, 82);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(7774, 4, 846964, 8823);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(1172, 1, 939632, 4146);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(7285, 5, 873309, 9004);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5212, 2, 785628, 677);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(1358, 15, 831664, 5210);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(4884, 8, 690319, 5093);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3012, 13, 223160, 1124);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(9232, 2, 505969, 9050);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(7641, 5, 998288, 7341);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3835, 17, 242742, 8342);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5929, 3, 636000, 8632);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3682, 4, 998288, 8704);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(8785, 8, 396764, 9473);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(4722, 4, 430847, 319);
