INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(7764, '1978-02-08', 17, 9473, 587664);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(4014, '1994-07-21', 10, 3713, 270849);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(5043, '1997-07-25', 8, 4392, 777069);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(7807, '1985-11-02', 7, 8342, 546745);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1643, '1977-07-10', 6, 1124, 998288);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(5167, '2019-11-27', 13, 6473, 219821);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(5564, '1988-01-01', 6, 3821, 242742);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(8366, '1987-06-07', 19, 2519, 510417);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(6342, '1987-02-25', 0, 764, 283342);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(4233, '1975-09-18', 19, 9004, 100921);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2105, '2017-07-12', 6, 8754, 242116);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(4314, '2009-06-22', 0, 1124, 989806);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(3758, '1998-11-07', 17, 7341, 434523);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2354, '2021-01-03', 19, 5946, 249790);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1939, '2011-11-22', 16, 9004, 134767);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(6036, '2007-09-04', 9, 8704, 146503);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2979, '1980-10-10', 11, 3437, 348510);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(4720, '2005-07-14', 4, 2870, 146503);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(553, '2007-06-29', 0, 8704, 721163);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2694, '2009-07-31', 18, 1447, 283342);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(9314, '1970-09-21', 10, 8823, 242742);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1444, '2012-02-20', 18, 8086, 698246);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1736, '1970-11-11', 17, 7341, 964694);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(9912, '2010-07-08', 11, 9148, 610750);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(9066, '1988-12-31', 0, 4498, 505969);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1745, '1994-07-05', 16, 677, 242116);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(5722, '2008-03-29', 18, 8086, 319925);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(5580, '1978-01-31', 3, 2598, 546745);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(358, '1995-06-04', 13, 4498, 995144);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(3317, '2008-02-18', 18, 764, 283342);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1271, '1975-01-16', 18, 7341, 939632);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(4675, '1974-01-09', 16, 6952, 964694);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(7280, '2020-09-26', 3, 4175, 954938);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(4518, '2001-01-21', 4, 6952, 954938);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(983, '1995-05-04', 6, 764, 146503);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(9303, '1995-03-10', 8, 4392, 219821);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(8546, '2002-03-15', 5, 1394, 146503);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2566, '2008-01-28', 9, 3713, 434523);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2443, '1984-06-26', 3, 2870, 777069);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(949, '2015-11-18', 6, 3437, 587664);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1273, '2005-06-19', 5, 1447, 610750);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1114, '2016-02-04', 6, 9050, 794240);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2370, '2012-08-29', 10, 319, 899750);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(9437, '1978-04-01', 9, 4498, 430847);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(5381, '1997-11-16', 0, 3821, 954938);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2064, '1992-05-25', 0, 1394, 964694);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(46, '1989-07-09', 1, 1124, 873309);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(4910, '2023-04-10', 13, 2201, 469311);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(2335, '2017-10-27', 14, 9148, 434523);
INSERT INTO note_quizz (id_note_quizz, date, note, id_quizz, id_utilisateur) VALUES(1418, '1975-02-03', 16, 9004, 721163);
