
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(1177, 'renverser', 'vrais', 2, 5093);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(8781, 'froid', 'faux', 2, 5093);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(3078, 'reveler', 'multiple', 4, 8342);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(5353, 'coup', 'multiple', 3, 7341);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(9476, 'absolument', 'multiple', 4, 5093);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(1411, 'faire', 'multiple', 4, 1124);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(3491, 'village', 'multiple', 2, 5310);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(9979, 'banc', 'seul', 3, 4175);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(1859, 'fatiguer', 'vrais', 4, 2519);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(1167, 'propre', 'vrais', 4, 7341);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(2751, 'affaire', 'seul', 3, 9249);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(6343, 'professeur', 'seul', 4, 8754);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(3948, 'triste', 'vrais', 3, 3589);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(9248, 'on', 'faux', 4, 319);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(6736, 'est', 'seul', 2, 8704);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(7726, 'usage', 'seul', 4, 7207);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(6500, 'puisque', 'vrais', 1, 2943);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(9053, 'disposer', 'seul', 2, 82);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(1112, 'mari', 'vrais', 3, 2519);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(8447, 'superieur', 'multiple', 2, 4146);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(4147, 'precieux', 'faux', 1, 6171);
INSERT INTO question (id_question, label,type, nombre_bonne_reponse, id_quizz) VALUES(4260, 'hauteur', 'faux', 1, 2943);
