INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(368141, 4130, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(938549, 8753, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(618438, 4130, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(977503, 7129, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(329721, 3571, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(146225, 3904, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(726306, 5226, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(641672, 629, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(249005, 7551, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(618438, 7094, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(528299, 2357, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(614774, 1121, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(938549, 3571, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(697814, 7129, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(455216, 4507, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(353896, 2347, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(972292, 4441, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(641672, 9455, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(350792, 1121, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(618714, 9775, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(100810, 4507, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(895497, 954, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(895497, 629, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(618438, 9149, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(618438, 7094, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(735438, 6370, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(706214, 7129, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(972292, 7636, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(618438, 9953, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(205071, 1877, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(624880, 5521, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(706304, 4507, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(805750, 5521, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(265913, 9149, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(618714, 1121, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(701170, 68, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(100810, 7217, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(353896, 787, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(368141, 787, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(895497, 2622, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(193164, 5622, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(989760, 7636, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(492070, 1579, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(701170, 6562, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(978174, 3571, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(989760, 9572, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(972292, 9953, 'editeur');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(528299, 954, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(292516, 9290, 'consultant');
INSERT INTO utilisateur_carte_mentale (id_utilisateur, id_carte_mentale, privilege) VALUES(165941, 5226, 'consultant');
